"ID"	"SubmissionTimestamp"	"UserFKOfObserver"	"PlantFK"	"LocalDate"	"LocalTime"	"ObservationMethod"	"Notes"	"WetLeaves"	"PlantSpecies"	"NumberOfLeaves"	"AverageLeafLength"	"HerbivoryScore"	"SubmittedThroughApp"	"MinimumTemperature"	"MaximumTemperature"	"NeedToSendToSciStarter"	"CORRESPONDING_OLD_DATABASE_SURVEY_ID"
32016	0	1830	2283	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"American chestnut"	50	-128	-128	0	9999	9999	0	0
32017	0	1830	2284	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"American chestnut"	50	-128	-128	0	9999	9999	0	0
32018	0	1830	2287	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red maple"	50	-128	-128	0	9999	9999	0	0
32019	0	1830	2288	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red maple"	50	-128	-128	0	9999	9999	0	0
32020	0	1830	2289	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red oak"	50	-128	-128	0	9999	9999	0	0
32021	0	1830	2295	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Striped maple"	50	-128	-128	0	9999	9999	0	0
32022	0	1830	2420	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red oak"	50	-128	-128	0	9999	9999	0	0
32023	0	1830	2421	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red oak"	50	-128	-128	0	9999	9999	0	0
32024	0	1830	2426	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Striped maple"	50	-128	-128	0	9999	9999	0	0
32025	0	1830	2552	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Striped maple"	50	-128	-128	0	9999	9999	0	0
32026	0	1830	2553	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Striped maple"	50	-128	-128	0	9999	9999	0	0
32027	0	1830	2546	2010-05-17	"00:00:00"	"Visual"	"ABC"	""	"Red oak"	50	-128	-128	0	9999	9999	0	0
